"userType","gender","birthYear","state","jurisdiction","jurisdictionOthers","diocese","dioceseOthers","cradleOrConvert","cradleOrConvertOthers","clericalRank","clericalRankOthers","clericalStatus","clericalStatusOthers","parishType","parishTypeOthers","parishRole","parishRoleOthers","academicDegree","academicDegreeOthers","seminarySchool","seminarySchoolOthers","profession","Q1","Q2",,"Q3",,,,,,,,,
"Clergy",,1979,"Iowa","Greek Orthodox Archdiocese of America",,"Metropolis of Chicago",,"Converted as an Adult",,"Priest",,"Active (primary)",,"Full-time",,,,,,"Holy Cross Greek Orthodox School of Theology: Brookline, Massachusetts",,,"Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Support for clergy (to avoid burnout)","Demographic shifts (how to balance the needs of different groups)""      ",,,,,,,,,,
"Laity","Male",1972,"Texas","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Some College",,,,"Business owner","Strategies for parish education, catechization, outreach, etc.","Youth Ministry (retention and return of youth & young adults)","Influx of new inquirers        ",,,,,,,,,,
"Clergy",,1981,"New York","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Cradle",,"Deacon",,,,,,,,,,"An Orthodox Christian distance learning program ",,,"Mental health needs of parishioners","Demographic shifts (how to balance the needs of different groups)","Support for clergy (to avoid burnout)        ",,,,,,,,,,
"Laity","Male",1998,"Virginia","Russian Orthodox Church Outside of Russia",,"Eastern America and New York Diocese",,"Converted as an Adult",,,,,,,,,"Choir/Reader","High School Diploma|Some College",,,,"Police Officer","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Mental health needs of parishioners","Influx of new inquirers""      ",,,,,,,,,,
"Laity","Male",1978,"Texas","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as an Adult",,,,,,,,"Parish Council President",,"College Degree",,,,"Technology","Clergy shortage","Influx of new inquirers","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,
"Clergy",,1987,"Pennsylvania","Serbian Orthodox Church in North, Central and South America",,"Diocese of Eastern America",,"Cradle",,"Deacon",,,,,,,,,,"An Orthodox Christian distance learning program","Great Martyr Euphemia Orthodox Theological Academy",,"Mental health needs of parishioners","Strategies for parish education, catechization, outreach, etc.","Youth Ministry (retention and return of youth & young adults)        ",,,,,,,,,,
"Laity","Male",1989,"Minnesota","Greek Orthodox Archdiocese of America",,"Metropolis of Chicago",,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Mental Health Therapist ","Support for clergy (to avoid burnout)","Growing the parish","Mental health needs of parishioners        ",,,,,,,,,,
"Laity","Male",1968,"New York","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Converted as an Adult",,,,,,,,,"Other","Graduate Degree",,,,"Education","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,,,
"Laity","Female",1985,"South Carolina","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as an Adult",,,,,,,,"Ministry/ Organization Leader|Ministry/ Organization  Member|Parish Council Member","Choir","Some College",,,,"Paralegal ","Youth Ministry (retention and return of youth & young adults)","Growing the parish","Financial contributions/donations/stability        ",,,,,,,,,,
"Laity","Male",1985,"New York","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Cradle",,,,,,,,"Ministry/ Organization President",,"College Degree",,,,"Historian","Financial contributions/donations/stability","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,,
"Laity","Male",1971,"California","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Los Angeles and the West",,"Converted as an Adult",,,,,,,,"Parish Council Member",,"Graduate Degree",,,,"Psychiatrist (Physician)","Mental health needs of parishioners","Influx of new inquirers","Sexual morality        ",,,,,,,,,,
"Laity","Male",1975,"North Dakota","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Converted as an Adult",,,,,,,,"Ministry/ Organization Leader|Parish Council Member",,"College Degree",,,,"Maintenance supervisor ","Strategies for parish education, catechization, outreach, etc.","Financial contributions/donations/stability","Growing the parish        ",,,,,,,,,,
"Laity","Male",1967,"Pennsylvania","Orthodox Church in America",,"Diocese of Philadelphia and Eastern Pennsylvania",,"Cradle",,,,,,,,,"Priest's child.","College Degree",,,,"Customer service ","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Financial contributions/donations/stability","Growing the parish        ",,,,,,,,,,
"Clergy",,1956,"New York","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Converted as an Adult",,"Archpriest/Protopresbyter",,,,,,,,,,"St Vladimir's Orthodox Theological Seminary: Crestwood, New York",,,"Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Effects of COVID-19 (attendance  stewardship  parish life  return & retention)","Demographic shifts (how to balance the needs of different groups)""   ",,,,,,,,,,
"Laity","Male",1956,"Florida","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as an Adult",,,,,,,,"Ministry/ Organization  Member",,"College Degree",,,,"Science Teacher","Growing the parish","Support for clergy (to avoid burnout)","Financial contributions/donations/stability        ",,,,,,,,,,
"Laity","Male",1959,"New York","Bulgarian Eastern Orthodox Diocese of the USA, Canada, and Australia",,,,"Converted as an Adult",,,,,,,,"Parish Council President",,"College Degree",,,,"Retired","Strategies for parish education, catechization, outreach, etc.","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Clergy shortage""      ",,,,,,,,,,
"Laity","Male",1991,"Pennsylvania","Orthodox Church in America",,"Diocese of Pittsburgh and Western Pennsylvania",,"Converted as an Adult",,,,,,,,"Ministry/ Organization  Member",,"College Degree",,,,"Locksmith ","Growing the parish","Strategies for parish education, catechization, outreach, etc.","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,
"Clergy",,1957,"Oklahoma","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as an Adult",,"Priest",,"Active (primary)",,"Full-time",,,,,," St Tikhon's Orthodox Theological Seminary: South Canaan, Pennsylvania",,,"Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,,,
"Clergy",,1951,"Colorado","Orthodox Church in America",,"Diocese of San Francisco and the West",,"Cradle",,"Deacon",,,,,,,,,,"Antiochian House of Studies",,,"Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Growing the parish","Effects of COVID-19 (attendance  stewardship  parish life  return & retention)""   ",,,,,,,,,,
"Clergy",,1984,"New Jersey","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Converted as an Adult",,"Priest",,"Active (primary)",,"Full-time",,,,,," St Tikhon's Orthodox Theological Seminary: South Canaan, Pennsylvania",,,"Support for clergy (to avoid burnout)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,,
"Laity","Male",1994,"Missouri","Russian Orthodox Church Outside of Russia",,"Chicago and Mid-America Diocese",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"HR","Mental health needs of parishioners","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,,
"Laity","Male",2001,"Oklahoma","Ukrainian Orthodox Church of the USA",,"Western Eparchy",,"Cradle",,,,,,,,"Ministry/ Organization Leader|Parish Council Member",,"Some College",,,,"Student","Demographic shifts (how to balance the needs of different groups)","Growing the parish","Financial contributions/donations/stability        ",,,,,,,,,,
"Laity","Male",1970,"Georgia","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Converted as an Adult",,,,,,,,"Ministry/ Organization Leader",,"Some College",,,,"Restaurants","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Clergy shortage","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Male",1955,"Alabama","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Converted as an Adult",,,,,,,,,"Trustee","College Degree",,,,"Real Estate Developer ","Youth Ministry (retention and return of youth & young adults)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Demographic shifts (how to balance the needs of different groups)""      ",,,,,,,,,,
"Clergy",,1982,"California","Greek Orthodox Archdiocese of America",,"Metropolis of San Francisco",,"Converted as an Adult",,"Deacon",,,,,,,,,,"Antiochian House of Studies|Holy Cross Greek Orthodox School of Theology: Brookline, Massachusetts",,,"Sexual morality","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,,
"Laity","Female",1968,"Pennsylvania","Orthodox Church in America",,"Diocese of Pittsburgh and Western Pennsylvania",,"Converted as an Adult",,,,,,,,"Ministry/ Organization  Member|Ministry/ Organization Leader",,"College Degree",,,,"Various ","Youth Ministry (retention and return of youth & young adults)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,,
"Clergy",,1960,"Pennsylvania","Orthodox Church in America",,"Diocese of Philadelphia and Eastern Pennsylvania",,"Cradle",,"Archpriest/Protopresbyter",,,,,,,,,," St Tikhon's Orthodox Theological Seminary: South Canaan, Pennsylvania",,,"Growing the parish","Financial contributions/donations/stability","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Laity","Male",1953,"Missouri","Russian Orthodox Church Outside of Russia",,"Chicago and Mid-America Diocese",,"Converted as an Adult",,,,,,,,,"Reader/Choir member","Some College",,,,"Retired","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,,,
"Laity","Female",1953,"New Jersey","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Cradle",,,,,,,,"Parish Council President",,"Some College",,,,"Retired -  programmer ","Growing the parish        ",,,,,,,,,,,,
"Clergy",,1968,"New York","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Converted as an Adult",,"Archpriest/Protopresbyter",,,,,,,,,," St Tikhon's Orthodox Theological Seminary: South Canaan, Pennsylvania",,,"Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Youth Ministry (retention and return of youth & young adults)","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,,
"Laity","Male",1971,"Maryland","American Carpatho-Russian Orthodox Diocese of the USA",,,,"Converted as an Adult",,,,,,,,"Ministry/ Organization  Member|Parish Council Member",,"Graduate Degree",,,,"Government Contracts","Growing the parish","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Support for clergy (to avoid burnout)""      ",,,,,,,,,,
"Clergy",,1959,"New Jersey","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Cradle",,"Deacon",,,,,,,,,," St Tikhon's Orthodox Theological Seminary: South Canaan, Pennsylvania",,,"Financial contributions/donations/stability","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Growing the parish""      ",,,,,,,,,,
"Laity","Male",1994,"Pennsylvania","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Oakland, Charleston, and the Mid-Atlantic",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization","Layman","Some College",,,,"Forklift Driver","Demographic shifts (how to balance the needs of different groups)","Support for clergy (to avoid burnout)","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,
"Laity","Male",1985,"Pennsylvania","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of New York and Washington, D.C.",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Mechanical Engineer ","Demographic shifts (how to balance the needs of different groups)","Strategies for parish education, catechization, outreach, etc.","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Clergy",,1982,"Michigan","Orthodox Church in America",,"Romanian Episcopate",,"Cradle",,"Bishop",,,,,,,,,,"Holy Cross Greek Orthodox School of Theology: Brookline, Massachusetts",,,"Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,,,
"Laity","Male",1991,"Oregon","Russian Orthodox Church Outside of Russia",,"San Francisco and Western American Diocese",,"Converted as an Adult",,,,,,,,,"Reader","College Degree",,,,"Consulting","Influx of new inquirers","Growing the parish","Mental health needs of parishioners        ",,,,,,,,,,
"Laity","Male",1964,"South Carolina","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as an Adult",,,,,,,,,"Parish member","Graduate Degree",,,,"GIS analyst","Youth Ministry (retention and return of youth & young adults)","Strategies for parish education, catechization, outreach, etc.","Support for clergy (to avoid burnout)        ",,,,,,,,,,
"Laity","Male",1985,"South Carolina","Orthodox Church in America",,"Diocese of Dallas and the South",,"Cradle",,,,,,,,,"Altar Server ","College Degree",,,,"High School Teacher ","Growing the parish","Financial contributions/donations/stability","Influx of new inquirers        ",,,,,,,,,,
"Clergy",,1971,"New York","Russian Orthodox Church Outside of Russia",,"Eastern America and New York Diocese",,"Cradle",,"Priest",,"Active (secondary - 2nd, 3rd, 4th, etc.)|Active (primary)",,"Part-time",,,,,,"Holy Trinity Orthodox Seminary: Jordanville, New York",,,"Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Support for clergy (to avoid burnout)","Demographic shifts (how to balance the needs of different groups)""      ",,,,,,,,,,
"Laity","Male",1986,"Alaska","Greek Orthodox Archdiocese of America",,"Metropolis of San Francisco",,"Cradle",,,,,,,,"Parish Council Treasurer",,"Some College",,,,"Category Manager","Demographic shifts (how to balance the needs of different groups)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,,
"Clergy",,1954,"Virginia","Russian Orthodox Church Outside of Russia",,"Eastern America and New York Diocese",,"Converted as an Adult",,"Priest",,"Active (primary)",,"Part-time",,,,,,"Non-Orthodox seminary/theological school",,,"Clergy shortage","Growing the parish","Financial contributions/donations/stability        ",,,,,,,,,,
"Laity","Male",2002,"Indiana","Russian Orthodox Church Outside of Russia",,"Chicago and Mid-America Diocese",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Some College",,,,"Student","Financial contributions/donations/stability","Growing the parish","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Clergy",,1954,"Texas","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Converted as an Adult",,"Priest",,,,,,,,,," St Tikhon's Orthodox Theological Seminary: South Canaan, Pennsylvania",,,"Mental health needs of parishioners        ",,,,,,,,,,,,
"Laity","Female",2000,"Vermont","Georgian Apostolic Orthodox Church in North America",,,,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Government contractor","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Financial contributions/donations/stability","Growing the parish""      ",,,,,,,,,,
"Clergy",,1976,"New York","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Cradle",,"Archpriest/Protopresbyter",,,,,,,,,," St Tikhon's Orthodox Theological Seminary: South Canaan, Pennsylvania",,,"Financial contributions/donations/stability","Support for clergy (to avoid burnout)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Clergy",,1977,"New York","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Cradle",,"Priest",,"Active (primary)",,"Part-time",,,,,," St Tikhon's Orthodox Theological Seminary: South Canaan, Pennsylvania",,,"Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.","Growing the parish""   ",,,,,,,,,,
"Laity","Female",1986,"New York","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Converted as an Adult",,,,,,,,"Parish Council Member",,"Graduate Degree",,,,"Psychologist ","Growing the parish","Depth of engagement"" in parish life (frequency of confession attendance at non-Sunday services  participation in ministries)","Support for clergy (to avoid burnout)""      ",,,,,,,,,,
"Clergy",,1975,"Washington","Orthodox Church in America",,"Diocese of San Francisco and the West",,"Converted as an Adult",,"Deacon",,,,,,,,,,"An Orthodox Christian distance learning program",,,"Youth Ministry (retention and return of youth & young adults)","Continuing education/training for clergy","Sexual morality        ",,,,,,,,,,
"Laity","Male",2001,"South Carolina","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"High School Diploma",,,,"Enlisted Navy","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.","Support for clergy (to avoid burnout)""   ",,,,,,,,,,
"Laity","Male",1986,"Connecticut","Greek Orthodox Archdiocese of America",,"Direct Archdiocesan District",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Some College",,,,"Firefighter","Growing the parish","Strategies for parish education, catechization, outreach, etc.","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,
"Clergy",,1956,"New Jersey","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Converted as an Adult",,"Archpriest/Protopresbyter",,,,,,,,,,"Holy Cross Greek Orthodox School of Theology: Brookline, Massachusetts",,,"Growing the parish","Clergy shortage","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,
"Laity","Male",1968,"New Jersey","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Cradle",,,,,,,,"Parish Council President",,"College Degree",,,,"Consultant","Strategies for parish education, catechization, outreach, etc.","Financial contributions/donations/stability","Growing the parish        ",,,,,,,,,,
"Laity","Female",1976,"Colorado","Orthodox Church in America",,"Diocese of San Francisco and the West",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Education","Influx of new inquirers","Strategies for parish education, catechization, outreach, etc.","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,
"Laity","Female",1962,"New Jersey","Greek Orthodox Archdiocese of America",,"Metropolis of New Jersey",,"Cradle",,,,,,,,,"PK, Bookstore director at 2 parishes, past president of Philoptochos (8yrs), religious educator, reader, welcomer, have gone thru all ministries at local, regional, metropolis, archdiocese as servant leader ….","Graduate Degree",,,,"Independent scholar, Retreat leader and consultant","Growing the parish","Strategies for parish education, catechization, outreach, etc.","Continuing education/training for clergy        ",,,,,,,,,,
"Laity","Male",1990,"Washington","Greek Orthodox Archdiocese of America",,"Metropolis of San Francisco",,"Converted as an Adult",,,,,,,,"Ministry/ Organization  Member|Parish Council Member",,"College Degree",,,,"Consultant","Financial contributions/donations/stability","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Mental health needs of parishioners""      ",,,,,,,,,,
"Laity","Male",1984,"New Jersey","Russian Orthodox Church Outside of Russia",,"Eastern America and New York Diocese",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Professor ","Demographic shifts (how to balance the needs of different groups)","Support for clergy (to avoid burnout)","Growing the parish        ",,,,,,,,,,
"Laity","Male",1950,"Tennessee","Greek Orthodox Archdiocese of America",,"Metropolis of Detroit",,"Converted as an Adult",,,,,,,,"Ministry/ Organization Leader",,"Some College",,,,"Retired Engineer","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Youth Ministry (retention and return of youth & young adults)","Clergy shortage""      ",,,,,,,,,,
"Laity","Female",1957,"Mississippi","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as an Adult",,,,,,,,,"Just beginning. Brand new to orthodoxy .","High School Diploma",,,,"Retired","Support for clergy (to avoid burnout)        ",,,,,,,,,,,,
"Laity","Male",1971,"Texas","Russian Orthodox Church Outside of Russia",,"Chicago and Mid-America Diocese",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Some College",,,,"Engineering","Continuing education/training for clergy","Support for clergy (to avoid burnout)","Influx of new inquirers        ",,,,,,,,,,
"Laity","Male",2004,"Illinois","Greek Orthodox Archdiocese of America",,"Metropolis of Chicago",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"High School Diploma|Some College",,,,"Student","Support for clergy (to avoid burnout)","Youth Ministry (retention and return of youth & young adults)","Sexual morality        ",,,,,,,,,,
"Laity","Male",1972,"New York","Greek Orthodox Archdiocese of America",,"Direct Archdiocesan District",,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Consultant ","Mental health needs of parishioners","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Continuing education/training for clergy""      ",,,,,,,,,,
"Laity","Male",1985,"Texas","Greek Orthodox Archdiocese of America",,"Metropolis of Denver",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Subcontracts ","Growing the parish","Support for clergy (to avoid burnout)","Clergy shortage        ",,,,,,,,,,
"Clergy",,1988,"New York","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Cradle",,"Deacon",,,,,,,,,," St Tikhon's Orthodox Theological Seminary: South Canaan, Pennsylvania",,,"Financial contributions/donations/stability","Support for clergy (to avoid burnout)","Growing the parish        ",,,,,,,,,,
"Laity","Male",2001,"North Dakota","Orthodox Church in America",,"Diocese of Chicago and the Midwest",,"Converted as an Adult",,,,,,,,,"Parishioner","Some College",,,,"Student","Support for clergy (to avoid burnout)","Strategies for parish education, catechization, outreach, etc.","Growing the parish        ",,,,,,,,,,
"Clergy",,1972,"New York","Patriarchal Parishes of the Russian Orthodox Church in the USA",,,,"Converted as an Adult",,"Priest",,"Active (secondary - 2nd, 3rd, 4th, etc.)",,"Part-time",,,,,,"An Orthodox Christian distance learning program|Antiochian House of Studies",,,"Financial contributions/donations/stability","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Effects of COVID-19 (attendance  stewardship  parish life  return & retention)""   ",,,,,,,,,,
"Laity","Male",1975,"Tennessee","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Miami and the Southeast",,"Considering Conversion",,,,,,,,,"Learning about Orthodoxy, considering conversion","College Degree",,,,"Finance","Youth Ministry (retention and return of youth & young adults)","Influx of new inquirers","Mental health needs of parishioners        ",,,,,,,,,,
"Laity","Male",1958,"Virginia","Serbian Orthodox Church in North, Central and South America",,"Diocese of Eastern America",,"Cradle",,,,,,,,"Parish Council Member",,"Graduate Degree",,,,"Retired","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Youth Ministry (retention and return of youth & young adults)","Growing the parish""      ",,,,,,,,,,
"Laity","Male",1959,"Ohio","Orthodox Church in America",,"Diocese of Chicago and the Midwest",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization|Deacon's Wife",,"Graduate Degree",,,,"IT Project Manager ","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Mental health needs of parishioners","Support for clergy (to avoid burnout)        ",,,,,,,,,,
"Laity","Male",1990,"Nevada","Orthodox Church in America",,"Diocese of San Francisco and the West",,"Converted as an Adult",,,,,,,,,"Church School Teacher; Acolyte.","College Degree",,,,"Hardware Management","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,,,
"Laity","Male",1972,"New York","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Cradle",,,,,,,,"Parish Council Member",,"Graduate Degree",,,,"Engineering ","Demographic shifts (how to balance the needs of different groups)","Mental health needs of parishioners","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,
"Laity","Male",1968,"Alabama","Serbian Orthodox Church in North, Central and South America",,"Diocese of New Gracanica-Midwestern America",,"Converted as an Adult",,,,,,,,,"n/a","Graduate Degree",,,,"Engineer","Youth Ministry (retention and return of youth & young adults)","Financial contributions/donations/stability","Growing the parish        ",,,,,,,,,,
"Clergy",,1950,"Washington",,"Malankara Orthodox Syrian Church of India ",,,"Converted as an Adult",,"Deacon",,,,,,,,,,"Antiochian House of Studies",,,"Financial contributions/donations/stability","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Support for clergy (to avoid burnout)""      ",,,,,,,,,,
"Laity","Male",1959,"Kansas","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Cradle",,,,,,,,"Ministry/ Organization  Member|Ministry/ Organization President|Ministry/ Organization Leader",,"Graduate Degree",,,,"Attorney ","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,,,
"Laity","Male",1961,"District of Columbia","Greek Orthodox Archdiocese of America",,"Metropolis of New Jersey",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"University Professor","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Support for clergy (to avoid burnout)","Effects of COVID-19 (attendance  stewardship  parish life  return & retention)""   ",,,,,,,,,,
"Laity","Male",1967,"Oklahoma","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as an Adult",,,,,,,,"Parish Council President",,"Graduate Degree",,,,"Customer Service","Mental health needs of parishioners","Youth Ministry (retention and return of youth & young adults)","Influx of new inquirers        ",,,,,,,,,,
"Laity","Male",1995,"Utah","Russian Orthodox Church Outside of Russia",,"San Francisco and Western American Diocese",,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Conflicts Analyst","Mental health needs of parishioners","Continuing education/training for clergy","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Clergy",,1958,"New York","Greek Orthodox Archdiocese of America",,"Direct Archdiocesan District",,"Converted as an Adult",,"Archimandrite",,,,,,,,,,"Christ The Saviour Seminary: Johnstown, Pennsylvania|Other Orthodox seminary/theological school",,,"Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Continuing education/training for clergy","Mental health needs of parishioners""      ",,,,,,,,,,
"Clergy",,1971,"Michigan","Orthodox Church in America",,"Diocese of Chicago and the Midwest",,"Cradle",,"Archpriest/Protopresbyter",,,,,,,,,," St Tikhon's Orthodox Theological Seminary: South Canaan, Pennsylvania",,,"Financial contributions/donations/stability","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,,
"Clergy",,1958,"Pennsylvania","Orthodox Church in America",,"Diocese of Pittsburgh and Western Pennsylvania",,"Converted as an Adult",,"Priest",,"Active (primary)",,"Part-time",,,,,,"An Orthodox Christian distance learning program","Asbury Theological Seminary",,"Growing the parish","Influx of new inquirers","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Male",1989,"Arizona","Greek Orthodox Archdiocese of America",,"Metropolis of San Francisco",,"Converted as an Adult",,,,,,,,"Ministry/ Organization  Member",,"College Degree",,,,"Mortgage Banking Analyst","Youth Ministry (retention and return of youth & young adults)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Demographic shifts (how to balance the needs of different groups)""      ",,,,,,,,,,
